Week,Bitcoin
2017-01-01,7
2017-01-08,6
2017-01-15,4
2017-01-22,4
2017-01-29,4
2017-02-05,5
2017-02-12,4
2017-02-19,5
2017-02-26,6
2017-03-05,7
2017-03-12,6
2017-03-19,6
2017-03-26,5
2017-04-02,5
2017-04-09,5
2017-04-16,5
2017-04-23,5
2017-04-30,7
2017-05-07,10
2017-05-14,11
2017-05-21,19
2017-05-28,13
2017-06-04,12
2017-06-11,13
2017-06-18,11
2017-06-25,11
2017-07-02,9
2017-07-09,10
2017-07-16,12
2017-07-23,11
2017-07-30,15
2017-08-06,15
2017-08-13,20
2017-08-20,16
2017-08-27,17
2017-09-03,18
2017-09-10,22
2017-09-17,16
2017-09-24,13
2017-10-01,12
2017-10-08,19
2017-10-15,21
2017-10-22,21
2017-10-29,28
2017-11-05,29
2017-11-12,31
2017-11-19,28
2017-11-26,66
2017-12-03,93
2017-12-10,87
2017-12-17,100
2017-12-24,63
2017-12-31,48
2018-01-07,46
2018-01-14,58
2018-01-21,38
2018-01-28,41
2018-02-04,47
2018-02-11,27
2018-02-18,24
2018-02-25,19
2018-03-04,19
2018-03-11,19
2018-03-18,18
2018-03-25,18
2018-04-01,17
2018-04-08,16
2018-04-15,15
2018-04-22,15
2018-04-29,13
2018-05-06,13
2018-05-13,11
2018-05-20,11
2018-05-27,10
2018-06-03,10
2018-06-10,13
2018-06-17,10
2018-06-24,11
2018-07-01,10
2018-07-08,9
2018-07-15,11
2018-07-22,12
2018-07-29,10
2018-08-05,11
2018-08-12,11
2018-08-19,10
2018-08-26,10
2018-09-02,11
2018-09-09,10
2018-09-16,9
2018-09-23,8
2018-09-30,8
2018-10-07,9
2018-10-14,8
2018-10-21,8
2018-10-28,8
2018-11-04,8
2018-11-11,10
2018-11-18,14
2018-11-25,14
2018-12-02,12
